Date (visiting Madagascar),Flag,AAA Name of ship,Name of master or author,Original Port,Places visited,Trade?,Archival location of ship log,Source ,Details,Madagascar ports,date in,date out,goods bought,goods sold,details,second stop,date in,date out,third stop,date in,date out,fourth stop,date in,date out,fifth stop,date in,date out,sixth stop,date in ,date out,7 stop,date in ,date out,8 stop,date in,date out,8 stop,date in,date ou,,,,,,
1850,US,Paulina,Tatch,New Bedford,"Mauritius, Johanna",,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520203.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,Peacock,,Salem,"Zanzibar, Muscat, Mozambique",,,NEM 158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Peacock,,,Madagascar,shipwrecked off the island,PE Log 717,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Pearl,Forsyth,New London,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551106.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,US,Peggy,,Salem,Mauritius,,,"Bean, Yankee India, 37",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,US,Peggy,"John Edwards, Jr",Salem?,Mauritius,,,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,GB,Pelican,,,Majunga,,John Studdy Leigh,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Pembroke,Josiah Chester,New London,"Madagascar, Mauritius",whaling,,"Starbuck, p. 368-9; NARA reel 1",Capt Peabody left the ship at Madagascar,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Penobscot,Kelley,Nantucket,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440806.pdf,,Saint Augustine Bay,25-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Peridus,David Perry,Fairhaven,"Madagascar, Mauritius",whaling,,NARA reel 1,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,Perkins,Ruye,Salem,Zanzibar,muskets and specie,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Peri,Russell,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Perl,Jose,New Bedford,"Johanna, Nosy Be",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440903.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450401.pdf,,Nosy Be,10-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Perl,Mayhew,New Bedford,"Anjouan, Mauritius",whaling,http://library.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,US,Perseverance,William Bates,Salem,Madagascar,,PE Log 234,,"wrecked off Majunga - Putnam, vol 3, pg 107",Madagascar,,,"bullocks, anchorage fee, food","powder, Spanish dollars, assrt goods, medicine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,US,Petapsco,Reeves,Baltimore,Mauritius,,,NEM: 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,US,Petrel,Frederick Howland Smith,New Bedford,Anjouan,whaler,NBWM 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,US,Peytona,Jenkins,New York ,Mauritius,,http://library.mysticseaport.org/Images/wsl/18531122.pdf,"headed to Australia, damanged and leaking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Phaeton,Brewroth,Stonington,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,US,Philetus,Stevens,Stonington,MAuritius,,http://library.mysticseaport.org/Images/wsl/18501001.pdf,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510114.pdf,to be abandoned in Mauritius due to leaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Philitus,Brucester,Stonnington,,,,NBWM ODHS 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,US,Philo,Isaac Percival,Boston,Mauritius,whaling,NBWM 348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Phoenician,,,Saint Augustine Bay,whaling,,NBWM 411,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Phoenician,,,Madagascar,whaler,,NBWM 47,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Phoenician,Worth,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Phoenix   ,Bloomfield,New London,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500423.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500305.pdf,"crew in a ""state of mutiny""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Phoenix / Phenix,Mercator Cooper,Sag Harbor,St Augustine Bay,whaler,NBWM ODHS 172,NBL roll 32,conflicts on shoreline,Saint Augustine Bay,10-Jun,29-Jun,,,,Saint Augustine Bay,17-Aug,04-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Phoenix / Phenix,Sopping,Sag Harbor,Mauritius,whaling,Old Darthmouth Historical society,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Phoenix / Phenix,Briggs,Sag Harbor,"Mauritius, Saint Augustine Bay",whaling,,"NARA reel 2, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf",,Saint Augustine Bay,07-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Pilgrim,Pettis,Somerset,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,US,Pilot,White,New Bedford,Zanzibar,,http://library.mysticseaport.org/Images/wsl/18500430.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Pioneer,,New Bedford,Mauritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Pioneer,Hathaway,New Bedford,Bally?,whaling,,images.mysticseaport.org/images/.mysticseaport,,Bally,"July 9, 1848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Pioneer,Lambert,New Bedford,"Mauritius, Nosy Be",whaling,,http://images.mysticseaport.org/images/wsl/18571229.pdfhttp://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551127.pdf,,Nosy Be,1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Platena/Platina,Allen,"Westport, MA","Zanzibar, Johanna, Dalyrmple Bay",whaling,,NBWM 14; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541226.pdf,,Dalrymple Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Portland,Nathan H. Cook,Newburg,Saint Augustine Bay,whaler,"NBWM 411, Bridgehampton Historical Society, Bridgehampton, New York; Franklin Delano Roosevelt Library, Hyde Park, New York ",,,Saint Augustine Bay,April,,,,,Saint Augustine Bay,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Portland,Cook,New Berg,,,,NBWM ODHS 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Potomac,Bates,Salem,"Nosy Be, Majunga, Zanzibar",,PE Log 607,,,Majunga,Dec 31 1848,13-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,US,Powhatten,,,"MAuritius, Madagascar",steamer,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530823.pdf,to avenge the Queen of the West murders,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,President,Allen,New Bedford,Johanna,whaler,,http://images.mysticseaport.org/images/wsl/18571027.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,US/Spanish,Prince,William P. White,Boston,"Mauritius, Rio de la Plata",Indian Goods,,NEM: 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,Swedish,Prince Charles,,,"Mozambique, Majunga, Zanziibar",,,NEM 266,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,US,Providence,Taylor,Philadelphia,"Mauritius, Batavia",,,NEM:6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Queen of the West,Joseph T Welden,Dartmouth,Antakarana,,,"NEM 495, Decary","pirate attack?  all murdered; according to decary, only a few of the crew killed",Antakarana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,Quill,King,Salem,"Majunga, Zanzibar, Mombasa",specie and arms,"PE Log 341, PE 364?",NEM 155; Edmund Roberts LOC,,Majunga,24-Jan,03-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Quill,,Salem,Madagascar,,PEM,"Edmund Roberts, LOC",,near Majunga,10-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,GB,Quinten Gray,Leigh,London,Majunga,,,,,Majunga,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,,Rajah,,,Saint Augustine Bay,whaling,,NBWM 411,,Saint Augustine Bay,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,UK,Rappid,Dawns,Liverpool,Zanzibar,,,NEM 269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,French?,Rasquard,,,Nosy Be,,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520615.pdf,picked up survivors of the Junius,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Rattler,Edward Brown,Salem,"Cape, Majunga, Zanzibar",,PEM,,,Majunga,15-Nov,21-Nov,"food, hides",dollars,,Majunga,16-Jul,20-Jul,Majunga,01-Sep,06-Sep,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Rattler,F. Brown,Salem,Zanzibar,,,"History of Essex County, 85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Rattler,J. Lambert,Salem,Majunga,,,"NEM 243; History of Essex County, 85",carried Ebenezer Tibbits to conduct trade,Majunga,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US ,Rattler,,,"Muscat, Zanzibar",,,NEM 269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,US,Reaper,"Robert Brookhouse, JR",Salem,Majunga,,,"Essex county, 84",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Reaper,Worth,Salem,"Johanna, Zanzibar, Madagascar",whaler,PE 973,"Edmund Roberts, LOC",,near Nosy Be,29-Mar,14-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Reaper,,,Saint Augustine Bay,whaling,,NBWM 411,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Reaper,Benjamin Neal,Salem,"Passindava, Nosy Be, Fort Dauphin",whaler,PE 973,NEM 185,"whaling, need dollars to buy food",Nosy Be,27-Mar,12-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,UK,Reliance,,,Saint Augustine Bay,whaling,,NBWM 411,,Saint Augustine Bay,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,US,Reward,John Williams Jr,Salem,"Mauritius, Seychelles",trading,NBWM 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Rhine,Downes,Edgar Town,Nosy Be,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450401.pdf,,Nosy Be,11-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,Hamburg,Ricciola,,,"Aden, Zanzibar",,,NEM 269,looking for cowries for West Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,US,Richard and Edward,George Crowninshield,Salem,Mauritius,,,"History of Essex County, pg 82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Richmond,James Emmerton,Salem,"Quilimane, Majunga, Zanzbiar, Majunga",,PE 365,,,near SAB,07-Jun,21-Jun,,,,Majunga,28-Nov,09-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Richmond,,,Majunga,,John Study Leigh,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Richmond,William B Bates,Salem,"Delago, Mozambique, Madagascar, Zanzibar, Lamu, Brava",,PE 402 and Log 440,NEM 207,,Madagascar,05-Mar,14-Mar,,,,Majunga,17-Dec,31-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,US,Richmond,William B. Bates,Salem,"Zanzibar, Majunga",,PE Log 469,"History of Essex County, 85",,Majunga,27-Mar,01-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Richmond,William B Bates,Salem,"Delagoa Bay, Quilamane, Majunga, Mozambique, Zanzibar",,PE Log 514,,,Majunga,03-May,05-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Richmond,William B Bates,Salem,,,PEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Richmond,Bates,Salem,"Majunga, Zanzibar",,"PE Log 530, Log 528",,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Richmond,William B Bates,Salem,"Delagoa Bay, Quilamane, Majunga, Mozambique, Zanzibar",,PEM,,,Majunga,11-Nov,19-Nov,,,,Majunga,18-Aug,20-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Richmond,William B. Bates,Salem,Zanzibar,,,"History of Essex County, 85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Richmond,Henry M. Bonney/ Peckins,New Bedford,"Johanna, Madagascar, Zanzibar",whaling,New Bedford whaling library - in catalog,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18531018.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520705.pdf,"capt got sick and left the ship at Johanna, due to desertions, Peckins had to return after being at Mauritius in 1853",Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,GB,Rio packet,,,Madagascar,,John Studdy Leigh - Majunga in 1836 - same ship?,,,Nosy Be,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,GB,Rio Packet,,London,Zanzibar,,,NEM 213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,US,Robert Morrison,Henry A. Slocum,New Bedford,"Madagascar, Seychelles",whaling,New Bedford museum library - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Rolla,Waters,Salem,Majunga,,"PE Pingree papers -Box 98, folder 2",PE catalog,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Rolla,J. Waters,Salem,"Zanzibar, Majunga",,"PE Pingree papers -Box 98, folder 3; Box 141 (OS) 3",NEM 207,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Rolla,Ingalls,Salem,"Mozambique, Majunga, Zanzibar, Majunga, Salem",,PE Log 439,"RH 4:1, David Pingree; NEM 210","""Arabs and Sakalavas at war""",Majunga,February,,"150 hides, fowls, bananas, eggs, bananas, pumpkins","brown shirting, low price cottons","plenty of hides, just not salt",Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,US,Rolla,Joseph Ingalls,Salem,"Mozambique, Madagascar, Zanzibar",,PEM,,,Madagascar,30-Apr,03-May,"1000 hides, tallow","cotton, assorted goods, alcohol",,Majunga,20-Sep,23-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Rolla,A. S. Perkins,Salem,Zanzibar,,,"NEM 214, RW 1: 4; History of Essex County, 85; RW 1, 5",,,11-Aug,,"1252 hides at $1.15, 5,010 hides at $1, anchorage, etc total $17,045 (Marks had 17,000 hides on hand and 20 barrels of tallow, plus cut money)","cloth, soap, 399 muskets at $4 each","muskets to be delivered to governor, on contract",Majunga,November,,Majunga,January 1842,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Rolla,Augustine Perkins,Salem,"Zanzibar, Majunga",,"PE Pingree papers -Box 98, folder 4",NEM 215,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Rolla,,Salem,Madagascar,,,"RW, 1:4",,,June,,"1459 hides (at 80 cents and at $1), grass cloth","delivering Ibrahim's goods, 153 pieces sheeting at $4 each","Marks had 992 hides, to buy at 75 cents or, at most, $1, cottons at $4 each",Majunga,,16-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Roman,Bartlett,New Bedford,"Mauritius, Saint Augustine Bay",whaling,,"NARA reel 1, NBWM ODHS 364",,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Rosalie,Mosher,Warren,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470302.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Roscoe,Robert Brown?,New Bedford,Saint Augustine Bay,whaling,NBWM 879,,,Saint Augustine Bay,04-Mar,18-Mar,,"guns, powder, nails, cloth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Roscoe,,New Bedford,Mauritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Roscoe,Bourne,New Bedford,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430801.pdf,,Saint Augustine Bay,16-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Roscoe,Tobey,New Bedford,"Mauritius, Anjouan",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Roscoe,Mendel,New Bedford,"Augustine Bay, Mauritius",whaling,,http://images.mysticseaport.org/images/wsl/18580803.pdf; http://images.mysticseaport.org/images/wsl/18571229.pdf,,Augustine Bay,"September 17, 1857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,US,Rose,John Felt,Salem?,Mauritius,,,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Rowena,John Shirley,,"Zanzibar, Madagascar",,,"NEM 214, RW 1:1, 5, 6",,Majunga,August,,"beef, eggs, fowls, pumpkins; January 5010 hides at $1, 1862 Mexican and Spanish dollars - total $7047","sheetings, 233 red stock muskets ($3.50 each), soap, assorted - household goods - total in March $2801","sep duty on muskets and hides, muskets were under contract for gov of Majunga for 2,000 muskets total w bayonets but couldn't get bayonets",Majunga,September,,Majunga,"January 1, 1842",,,,,,,,,,,,,,,,,,,,,,,,,
1790,US,Ruby,,Salem,Mauritius,,"Carpenter, Journal, Peabody Essex","Bean, Yankee India, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,Rupee,Webster,Boston,"Johanna, East Africa, Bombay",muskets and specie,PE log 318,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,US,Sachem,Bertram,Salem,Zanzibar,,"Putnam, 72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Said Bin Sultan,Mosely,Salem,"Madagascar, Zanzibar, Bombay, Muscat, Nosy Be",,PE Log 652 and 1931,,,Madagascar,15-Sep,26-Sep,"assorted goods, cottons, sugar","shell, beeswax, copal, hides, ebony, assorted cargo,cotton",sending goods to Vincent Marks,Nosy Be,12-Feb,21-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,US,Said Bin Sultan,Mosely,Salem,"Zanzibar, Madagascar, Aden, Muscat",,PE Log 684,,,Madagascar,22-Sep,27-Sep,"340 sticks ebony, 232 hides, 3 barrels of shell","200 bales of cotton, assorted goods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Said Bin Sultan,,,"Madagascar, Zanzibar",,PE Log 741,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,US,Sally Ann,George Wetcher,,Saint Augustine Bay,whaling,NBWM ODHS 369,,,Saint Augustine Bay,06-May,15-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Sally Ann,Cold,New Bedford,Saint Augustine Bay,whaling,,NBWM 1071,,Saint Augustine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Sally Ann,Henry Cold,New Bedford,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Sally Ann,Borden,New Bedford,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf; Fugitive slave thompson,,Saint Augustine Bay,10-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,US,Sally Ann?,,,Saint Augustine Bay,whaling,NBWM ODHS 1159 B,,,Saint Augustine Bay,,,,,using guns to buy things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Samson,James Brown,,Madagascar,,,"RW 1,2","letter in August attesting to fire in Majunga, loss of merchandise",Majunga,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Samuel Robertson,Babcock,Fairhaven,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570707.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,GB,Sandwich,,,"Kilwa, Zanzibar",,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,GB,Sandwich,,London,"Lamu, Zanzibar",,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,GB,Sandwich,,London,"Lamu, Zanzibar",,,"Edmund Roberts, LOC",,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,UK,Sandwich,Hunt,London,"Zanzibar, Bombay, Zanzibar",,,NEM 202,owned by Newman Hunt and Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,UK,Sandwich,,,Zanzibar,,,NEM 208,,,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Sarah,William Bates,Salem,Madagascar,,,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,US,Sea Fox,Samuel Braly,New Bedford,Passandava Bay,whaling,NBWM 182,,,Passandava Bay,06-Apr,10-Apr,deserters brought back by natives,,,Nosy Be,11-Apr,20-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,US,Seaman,James Emmerton,Salem,Madagascar,,PE Log 188,,,Madagascar,July,,"hides, cash",,dealt with Capt Brookhaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Selona,Howland,New Bedford,"Madagascar, Mauritius",whaling,,NARA reel 1,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Sesquehanna,,,Zanzibar,,,NEM 484,naval ship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,US,Shawmut,Emmerton,Salem,Majunga,,,PE Log 268,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,US,Shawmut,Emmerton,Salem,Majunga,,,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,US,Shawmut,Emmerton,Salem,Madagascar,,PE Log 300,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Shephardess,Ward,Salem,"Singapore, Zanzibar",,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Shylock,,Rochester,Saint Augustine Bay,whaling,NBWM 947,NBWM 411,,Saint Augustine Bay,06-Apr,10-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,US,Sicilian,William Savory,New York,Tamatave,,,"Putnam, 94",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Simon,Smith,New Bedford,Johanna,whaling,,NBWM 259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,US,Smyrna,George Bliss,New Bedford,Madagascar,whaling,New Bedford whaling museum - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,Smyrna,Bliss,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561209.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,Spain,Socorro,Peoli,Havanna,"Calcutta, Zanzibar",,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Sophronia,B. R. Peabody,Salem,Zanzibar,,,"History of Essex County, 85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,US,Sophronia,A. Emmerton,Salem,Zanzibar,,,"History of Essex County, 85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,South Carolina,William W. Taylor,Dartmouth,Saint Augustine Bay,whaling,NBWM 411,,,Saint Augustine Bay,04-Apr,14-Apr,,,,Saint Augustine Bay,30-Jun,23-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,South Carolina,William B Perry,Dartmouth,Saint Augustine Bay,whaler,New Bedford Whaling Museum,NBWM ODHS 373,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,US,Spy,Andrew Ward,Salem,Majunga,"ivroy, tortoise shell, dates, mats",PE Log 1982,"Northway, 124, 150-1",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,US,Spy,Ward,Salem,"Majunga, Mozambique",,,"NEM 151-2, Northway, 151",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
